==85434== NVPROF is profiling process 85434, command: ./bin/spmv -m ./res/shipsec1.mtx --prof --opt 1 --dd-p 99
==85434== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==85434== Profiling application: ./bin/spmv -m ./res/shipsec1.mtx --prof --opt 1 --dd-p 99
==85434== Profiling result:
==85434== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                          gld_transactions                                         Global Load Transactions     5927950     5927950     5927950
          1                          gst_transactions                                        Global Store Transactions      140874      140874      140874
          1                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions     3693194     3693194     3693194
          1                     l2_write_transactions                                            L2 Write Transactions      145374      145374      145374
          1                    dram_read_transactions                                  Device Memory Read Transactions     2982868     2982868     2982868
          1                   dram_write_transactions                                 Device Memory Write Transactions       70559       70559       70559
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      39.16%      39.16%      39.16%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                 Requested Global Load Throughput  1032.8GB/s  1032.8GB/s  1032.8GB/s
          1                  gst_requested_throughput                                Requested Global Store Throughput  7.3952GB/s  7.3952GB/s  7.3952GB/s
          1                            gld_throughput                                           Global Load Throughput  1244.8GB/s  1244.8GB/s  1244.8GB/s
          1                            gst_throughput                                          Global Store Throughput  29.581GB/s  29.581GB/s  29.581GB/s
          1                     local_memory_overhead                                            Local Memory Overhead       3.73%       3.73%       3.73%
          1                        tex_cache_hit_rate                                           Unified Cache Hit Rate      37.17%      37.17%      37.17%
          1                      l2_tex_read_hit_rate                                      L2 Hit Rate (Texture Reads)      26.14%      26.14%      26.14%
          1                     l2_tex_write_hit_rate                                     L2 Hit Rate (Texture Writes)      94.13%      94.13%      94.13%
          1                      dram_read_throughput                                    Device Memory Read Throughput  626.34GB/s  626.34GB/s  626.34GB/s
          1                     dram_write_throughput                                   Device Memory Write Throughput  14.816GB/s  14.816GB/s  14.816GB/s
          1                      tex_cache_throughput                       Unified cache to Multiprocessor throughput  3740.5GB/s  3740.5GB/s  3740.5GB/s
          1                    l2_tex_read_throughput                                    L2 Throughput (Texture Reads)  775.70GB/s  775.70GB/s  775.70GB/s
          1                   l2_tex_write_throughput                                   L2 Throughput (Texture Writes)  29.581GB/s  29.581GB/s  29.581GB/s
          1                        l2_read_throughput                                            L2 Throughput (Reads)  775.50GB/s  775.50GB/s  775.50GB/s
          1                       l2_write_throughput                                           L2 Throughput (Writes)  30.526GB/s  30.526GB/s  30.526GB/s
          1                    sysmem_read_throughput                                    System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                   System Memory Write Throughput  1.0751MB/s  1.0751MB/s  1.0751MB/s
          1                     local_load_throughput                                     Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                                    Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                                    Shared Memory Load Throughput  2030.1GB/s  2030.1GB/s  2030.1GB/s
          1                   shared_store_throughput                                   Shared Memory Store Throughput  1581.3GB/s  1581.3GB/s  1581.3GB/s
          1                            gld_efficiency                                    Global Memory Load Efficiency      82.97%      82.97%      82.97%
          1                            gst_efficiency                                   Global Memory Store Efficiency      25.00%      25.00%      25.00%
          1                    tex_cache_transactions                     Unified cache to Multiprocessor transactions     4453432     4453432     4453432
          1                             flop_count_dp                      Floating Point Operations(Double Precision)    38166648    38166648    38166648
