==86805== NVPROF is profiling process 86805, command: ./bin/spmv -m ./res/pwtk.mtx --prof --opt 1 --dd-p 99
==86805== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==86805== Profiling application: ./bin/spmv -m ./res/pwtk.mtx --prof --opt 1 --dd-p 99
==86805== Profiling result:
==86805== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                            gld_efficiency                                    Global Memory Load Efficiency      80.86%      80.86%      80.86%
          1                            gst_efficiency                                   Global Memory Store Efficiency      25.00%      25.00%      25.00%
          1                    tex_cache_transactions                     Unified cache to Multiprocessor transactions     6490968     6490968     6490968
          1                             flop_count_dp                      Floating Point Operations(Double Precision)    58135728    58135728    58135728
          1                         flop_count_dp_add                  Floating Point Operations(Double Precision Add)    34866880    34866880    34866880
          1                         flop_count_dp_fma                  Floating Point Operations(Double Precision FMA)    11634424    11634424    11634424
          1                         flop_count_dp_mul                  Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                      Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                  Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                  Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                   Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special              Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                            Instructions Executed    27287782    27287782    27287782
          1                               inst_issued                                              Instructions Issued    27485241    27485241    27485241
          1                          dram_utilization                                        Device Memory Utilization    High (7)    High (7)    High (7)
          1                        sysmem_utilization                                        System Memory Utilization     Low (1)     Low (1)     Low (1)
          1                          stall_inst_fetch                         Issue Stall Reasons (Instructions Fetch)       2.99%       2.99%       2.99%
          1                     stall_exec_dependency                       Issue Stall Reasons (Execution Dependency)      11.45%      11.45%      11.45%
          1                   stall_memory_dependency                               Issue Stall Reasons (Data Request)      81.55%      81.55%      81.55%
          1                             stall_texture                                    Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                            Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                                      Issue Stall Reasons (Other)       0.74%       0.74%       0.74%
          1          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.04%       0.04%       0.04%
          1                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)       1.31%       1.31%       1.31%
          1                         shared_efficiency                                         Shared Memory Efficiency      72.73%      72.73%      72.73%
          1                                inst_fp_32                                          FP Instructions(Single)           0           0           0
          1                                inst_fp_64                                          FP Instructions(Double)    46501304    46501304    46501304
          1                              inst_integer                                             Integer Instructions   210697918   210697918   210697918
          1                          inst_bit_convert                                         Bit-Convert Instructions           0           0           0
          1                              inst_control                                        Control-Flow Instructions   118903966   118903966   118903966
          1                        inst_compute_ld_st                                          Load/Store Instructions   126864668   126864668   126864668
          1                                 inst_misc                                                Misc Instructions    99042568    99042568    99042568
          1           inst_inter_thread_communication                                        Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                      Issue Slots    27485241    27485241    27485241
          1                                 cf_issued                                 Issued Control-Flow Instructions     7520336     7520336     7520336
          1                               cf_executed                               Executed Control-Flow Instructions     7520336     7520336     7520336
          1                               ldst_issued                                   Issued Load/Store Instructions     6472827     6472827     6472827
          1                             ldst_executed                                 Executed Load/Store Instructions     6472827     6472827     6472827
          1                       atomic_transactions                                              Atomic Transactions           0           0           0
